U+3400	㐀	qiū;jau1;null;null;null	⿱卝一
U+3788	㞈	bō;bui6,but6;null;null;null	⿺尢⿸⿱丶尸⿵冂⿻十丨[G]
U+3789	㞉	zā;zaat3;null;null;null	⿺尢⿸⿱䒑⿻⿱一一丨工[G]
U+378A	㞊	xù;seot1;null;null;null	⿰⿱⿱⿻凵丨[GTK]凵示尢[G],⿰⿱⿱⿻凵丨[GTK]凵示⿺尢丶[T]
U+378B	㞋	niǎn;nin2;null;null;null	⿸尸又
U+378C	㞌	yùn;lai1,zaan6;null;null;null	⿸尸子
U+378E	㞎	bǎ;baa2,paa4;null;null;null	⿸尸巴
U+378F	㞏	zhé;zaat6;null;null;null	⿸尸⿱丿⿱丶②
U+3790	㞐	jū;geoi1;null;null;null	⿸尸⿱⿱⿱丶一[GTK]丷一
U+3791	㞑	wěi;mei5;null;null;null	⿸尸⿻乚⿱丷八
U+3792	㞒	xiè;aai3;null;null;null	⿸尸自
U+3793	㞓	qì;hai1,hei3;null;null;null	⿸尸⿱⿺乚丿[GJ]日
U+3794	㞔	yí;ji4;null;null;null	⿸尸⿱⿴𠂊丶⿴𠂊丶
U+3795	㞕	xiè;ngaat6,sit3;null;null;null	⿸尸⿱八月[GK]
U+3796	㞖	cí;ci1,ci3,zi4;null;null;null	⿸尸朿
U+3797	㞗	qiú;gau1;null;null;null	⿸尸⿺⿻一⿻亅⿱丷八丶
U+3798	㞘	dū;duk1,tyun4;null;null;null	⿸尸⿻⿱一𧰨丶
U+3799	㞙	niào;niu6;null;null;null	⿸⿸尸⿱丿⿻⿱一一乚⿲㇇亅⿺乀丿
U+379A	㞚	qì;kaai3;null;null;null	⿸尸⿻⿱丿十臼[GK]
U+379B	㞛	jǐ;gei2;null;null;null	⿸尸⿰彳⿱⿺乚丿[GJ]日
U+379C	㞜	tuī;teoi1;null;null;null	⿸尸⿰彳⿱⿱丿木女
U+379E	㞞	sóng;null;null;null;null	⿸尸⿰彳⿱⿰人人龰
U+379F	㞟	diàn;din6;null;null;null	⿸尸⿱⿱丷酉[GTJ]⿻一人
U+37A0	㞠	láo;liu4;null;null;null	⿸尸⿱⿱⿻⿻一人丷日小
U+37A1	㞡	zhǎn;zin2;null;null;null	⿸尸⿱⿱⿰工工⿰工工𧘇
U+37A2	㞢	null;zi1;null;null;null	⿱⿻凵丨[GTK]一
U+37A3	㞣	null;fan1;null;null;null	⿱⿻凵丨[GTK]⿱八⿹𠃌丿
U+37A4	㞤	yín;saam4;null;null;null	⿱山人
U+37A5	㞥	cén;cip3,gip3,saam4,seon2;null;null;null	⿱山入
U+37A6	㞦	jǐ;gei2;null;null;null	⿰山几
U+37A7	㞧	huì;wui6;null;null;null	⿱山⿹𠄎丿
U+37A8	㞨	zǐ;zi1,zi2;null;null;null	⿰山子
U+37A9	㞩	lán;laam4;null;null;null	⿱山⿵几丶
U+37AA	㞪	náo;mau6,nau4;null;null;null	⿱彐山
U+37AB	㞫	jù;zaau2,zau2;null;null;null	⿱山⿱丶②
U+37AC	㞬	qìn;null;null;null;null	⿱山工
U+37AD	㞭	dài;daai6;null;null;null	⿱⿻一人山
U+37AE	㞮	null;null;null;SHUTSU,SUI;null	⿱山⿱𠂊丶
U+37AF	㞯	jié;zit3;null;null;null	⿱己山
U+37B0	㞰	xǔ;heoi2;null;null;null	⿰山⿱𠂉十
U+37B1	㞱	cōng;cung1;null;null;null	⿱山日
U+37B2	㞲	yòng;zung6;null;null;null	⿰山⿻口丨
U+37B3	㞳	dǒu;dau2;null;null;null	⿰山斗
U+37B4	㞴	chí;ci4;null;null;null	⿰山氏
U+37B5	㞵	null;tou1;null;null;null	⿱山⿱⿱丶一[GTK]⿻丿乀
U+37B6	㞶	mǐn;man4;null;null;null	⿰山⿱⿱丶一[GTK]⿻丿乀
U+37B7	㞷	huáng;wong4;null;null;null	⿱⿻凵丨[GTK]⿱一⿱十一[T],⿱山⿱一⿱十一[J]
U+37B8	㞸	suì;seoi3;null;null;null	⿱山⿱一③
U+37B9	㞹	kě;ho2;null;null;null	⿰山⿹⿱一亅口
U+37BA	㞺	zú;zuk6;null;null;null	⿱山⿱𠂉⿻一人
U+37BB	㞻	hào;hou6;null;null;null	⿱山⿱口⿱一㇉
U+37BC	㞼	chéng;nip6,sing4;null;null;null	⿱⿱乛⿲㇇亅⿺乀丿山
U+37BD	㞽	xuè;hyut3;null;null;null	⿰山戉
U+37BE	㞾	ní;nei4;null;null;null	⿰山⿸尸⿺乚丿[GJ]
U+37BF	㞿	chì;kei4;null;null;null	⿳山⿱十一⿻丿乀,⿱山⿱十又
U+37C0	㟀	lián;lin4;null;null;null	⿱⿱丿木山
U+37C1	㟁	àn;ngang6,ngon6;null;null;null	⿰山⿸厂干
U+37C2	㟂	mǔ;mou5;null;null;null	⿰山母
U+37C3	㟃	sī;si1;null;null;null	⿰山⿹𠃌⿱一口
U+37C4	㟄	xiáng;coeng4;null;null;null	⿰山⿱䒑⿻⿱一一丨
U+37C5	㟅	yáng;ou2,zoeng4,zoeng6;null;null;null	⿰山⿱⿶凵㐅⿰丿乚
U+37C6	㟆	huá;waa4;null;null;null	⿰山⿱⿰亻⿻乚丿[X][G]十
U+37C7	㟇	cuò;co4;null;null;null	⿰山⿻⿱十一⿰人人
U+37C8	㟈	qiú;kau4;null;null;null	⿰山⿺⿻一⿻亅⿱丷八丶
U+37C9	㟉	láo;lou4;null;null;null	⿰山⿱宀牛
U+37CA	㟊	fú;fu1;null;null;null	⿰山⿱⿱丿𭕄[G]子
U+37CB	㟋	duì;deoi3;null;null;null	⿰山⿱丷⿱口⿰丿乚[G],⿰山⿱八⿱口⿰丿乚[T]
U+37CC	㟌	máng;mong4;null;null;null	⿰山⿷⿺尢丶彡[GK]
U+37CD	㟍	láng;long4;null;null;null	⿰山⿱丶艮[GTV]
U+37CE	㟎	tuǒ;to5;null;null;null	⿰山⿱⿱丿𭕄[G]女
U+37CF	㟏	hán;ham4;null;null;null	⿰山⿱⿱⿱人丶㇇[G]口
U+37D0	㟐	mǎng;mong5;null;null;null	⿰山⿱⿻十丨[GJ]⿱⿱丶一[GTK]𠃊
U+37D1	㟑	bó;but6;null;null;null	⿰山⿱⿱十冖子
U+37D2	㟒	qūn;kwan1;null;null;null	⿱山⿸⿻⿻コ一丿口
U+37D3	㟓	qí;kei4;null;null;null	⿰山⿱㐅⿸𠂇巾
U+37D4	㟔	hán;ham4;null;null;null	⿱山⿱⿱⿱人丶㇇[G]口
U+37D6	㟖	lòng;lung6;null;null;null	⿱山⿱⿱一⿱十一⿻一⿰丿丨
U+37D7	㟗	null;ban1;null;null;null	⿻山⿰⿱八⿹𠃌丿⿱八⿹𠃌丿
U+37D8	㟘	tiáo;tiu4;null;null;null	⿰山⿵⺆⿱⿱十一口[GTJV]
U+37D9	㟙	zé;zaak6;null;null;null	⿰山⿱⿱⿻十丨一日
U+37DA	㟚	qí;kei4;null;null;null	⿱⿰木⿱十又山
U+37DB	㟛	zàn;zan2,zan3;null;null;null	⿱山⿰扌甘
U+37DC	㟜	mí;nei4;null;null;null	⿱山⿰弓⿱𠂊小[G]
U+37DD	㟝	péi;pui4;null;null;null	⿰山⿱⿱⿱⿱丶一[GTK]丷一口
U+37DE	㟞	zhàn;zan2,zan6;null;null;null	⿰山⿱⿻⿺⿻一乚丶丿⿻⿺⿻一乚丶丿
U+37DF	㟟	xiàng;hong2,hong6,hot3;null;null;null	⿱山⿱⿱⿱⿻十丨一八巳[GTK][G],⿳山⿱⿱⿻十丨一八㔾[TJ]
U+37E0	㟠	gǎng;gong1;null;null;null	⿰山⿵冂⿱⿱丷一山
U+37E2	㟢	qí;kei4;null;null;null	⿱山⿱⿻一人⿹⿱一亅口
U+37E4	㟤	lù;luk6;null;null;null	⿱山⿱彐⿻亅⿱丷八
U+37E5	㟥	null;caam1;null;null;null	⿱山⿳厶⿻一人彡
U+37E6	㟦	yùn;wan6;null;null;null	⿱山⿱冖車
U+37E7	㟧	è;hon6,ngok6,zim4;null;null;null	⿱山⿱⿰口口⿱一⿱一㇉
U+37E8	㟨	duān;cyun4;null;null;null	⿰山⿱山⿱一⿱丿⿵冂⿰丨丨
U+37E9	㟩	mín;man4;null;null;null	⿱⿰民攵山
U+37EA	㟪	wēi;waai1;null;null;null	⿰山⿳田一⿰𠄌⿺乀丿
U+37EB	㟫	quán;cyun4;null;null;null	⿰山⿱白⿲㇇亅⿺乀丿
U+37EC	㟬	sǒu;saau2,sou2;null;null;null	⿱山⿱⿻臼丨又[GJK]
U+37ED	㟭	mín;man4;null;null;null	⿰山⿱民日
U+37EE	㟮	tū;daat6,daau6;null;null;null	⿰山⿱⿱宀八犬[GTKV]
U+37F0	㟰	mǐng;ming5;null;null;null	⿰山⿱冖⿱日⿱⿱丶一[GTK]八
U+37F1	㟱	yǎo;ngau5,ngo4,paau4,zip6;null;null;null	⿰山⿱⿱⿱丷一⿱十一灬
U+37F2	㟲	jué;zyun4;null;null;null	⿰山⿸厂⿱白小
U+37F3	㟳	lì;gak3,ham2,leot6;null;null;null	⿰山⿱⿱一⿻口⿰丨丨木[GJK]
U+37F4	㟴	kuài;fai3,fan4,fan6;null;null;null	⿰山⿱甶⿺⿰丿乚厶
U+37F5	㟵	gǎng;gong1;null;null;null	⿱山⿱罒⿱一止
U+37F6	㟶	yuán;zyun4;null;null;null	⿱山⿸厂⿱白小
U+37F7	㟷	da;dap3;null;null;null	⿰山⿱⿻十丨[GJ]⿱⿱人一口
U+37F8	㟸	null;gou1;null;null;null	⿰山⿱白⿱⿻一人十
U+37F9	㟹	láo;liu4,lou4;null;null;null	⿰山⿰耳⿰𠂎卩
U+37FA	㟺	lóu;laau4;null;null;null	⿱山⿱⑧女
U+37FB	㟻	qiàn;cim3,ding1,zam2;null;null;null	⿱⿰車⿸𠂆⿱一丨山
U+37FC	㟼	áo;ngou4,ngou4;null;null;null	⿱山⿰⿱龶⿰丿𠃌攵[G]
U+37FD	㟽	biǎo;biu2;null;null;null	⿰山⿱⿱一⿻口⿰丨丨示
U+37FE	㟾	yōng;zung4;null;null;null	⿰山⿸广⿻⿻⿻コ一丨月
U+37FF	㟿	mǎng;mong5;null;null;null	⿰山⿱⿱⿻十丨[GJ]犬⿻一⿰丿丨[GT]
U+3800	㠀	dǎo;dou2;null;null;null	⿱⿹⑦灬山
U+3801	㠁	null;caam1;null;null;null	⿰山⿱⿱⿱厶⿰厶厶人彡
U+3802	㠂	áo;ngou4;null;null;null	⿰山⿰⿱龶⿰丿𠃌攵[G]
U+3804	㠄	xí;zaap6;null;null;null	⿱山⿱⿰⿹𠃌冫⿹𠃌冫[GTJV]白
U+3805	㠅	fú;fuk1;null;null;null	⿱山⿰彳⿳𠂉日夂[G]
U+3806	㠆	dān;daan1;null;null;null	⿰山⿱吅⿻甲一
U+3807	㠇	jiù;zau6;null;null;null	⿱山⿰⿳⿱丶一[GTK]口小⿺尢丶
U+3808	㠈	rùn;zeon6;null;null;null	⿰山⿵⿰𠁣𠃛⿱一⿱十一
U+3809	㠉	tóng;hiu1,tung4;null;null;null	⿰山⿱⿱⿱⿱丶一[GTK]丷一⿱⿻甲一一
U+380A	㠊	qū;keoi1;null;null;null	⿰山⿸⿸⿱⺊②⿻㇀乚⑥[GK],⿰山⿸⿸⿱⺊②⿻㇀乚⿱④一[T]
U+380B	㠋	è;ngok6;null;null;null	⿳山⿱口⿰口口⿱一⿱一㇉
U+380C	㠌	qī;hei1;null;null;null	⿱山⿰⿱⿱⑤一八欠
U+380D	㠍	jí;caap1,zap6,zit6;null;null;null	⿱山⿱隹木[GJK]
U+380E	㠎	jí;zaap6;null;null;null	⿰山⿱隹木[GJK]
U+380F	㠏	huá;gwaai3,waa4,wat6;null;null;null	⿰山⿱⿻十丨[GJ]⑦
U+3810	㠐	jiào;caa4,giu6,kiu4;null;null;null	⿱山⿱⿱⿱丿⿻一人口⿵冂口
U+3811	㠑	zuì;zeoi6;null;null;null	⿱山⿱罒非
U+3812	㠒	biǎo;biu2;null;null;null	⿰山⿰⿱⿱一⿻口⿰丨丨示刂
U+3813	㠓	méng;mung4;null;null;null	⿰山⿱⿻十丨[GJ]⿳冖一⿱一𧰨
U+3814	㠔	bài;bai3,be6;null;null;null	⿱山⿰⿸尸口⿱⿱⿱⿱丶一[GTK]丷一十
U+3815	㠕	wěi;waai5;null;null;null	⿱山⿰阝⿱甶⿺⿰丿乚厶
U+3816	㠖	yǐ;zi4,zi6;null;null;null	⿱山⿱⿱⿱丷一⿱十一我
U+3817	㠗	ào;bei1,ou3;null;null;null	⿰山⿱⿵⿱丿冂⿱丿米⿻一人
U+3818	㠘	yǔ;zeoi6;null;null;null	⿱山⿶⿳⿰③彐一八⿹②丿
U+3819	㠙	háo;hou4;null;null;null	⿰山⿱⿳⿱丶一[GTK]口冖⿱一𧰨
U+381A	㠚	duì;deoi3,zeoi3;null;null;null	⿰山⿰⿱⿱④一⿱⿱丷一⿱十一寸
U+381B	㠛	wò;null;null;null;null	⿰山⿱⿻十丨[GJ]⿱隹又[GTJ]
U+381C	㠜	nì;zik6;null;null;null	⿰山⿰𠤕⿱龴疋
U+381D	㠝	cuán;cyun4;null;null;null	⿰山⿱⿰⿻⿱一一人⿻⿱一一人⿱目八
U+381F	㠟	lí;lai4;null;null;null	⿰山⿱𥝢⿱人⿻亅⿱丷八
U+3820	㠠	lú;lou4;null;null;null	⿰山⿸虍⿱田皿
U+3821	㠡	niǎo;muk6,niu5;null;null;null	⿰山⿳⿱丶一[GTK]⿹⑥灬𧘇
U+3822	㠢	huái;wai4,wik6;null;null;null	⿱⿱山⿱甶⿺⿰丿乚厶⿱⿱丶一[GTK]𧘇
U+3823	㠣	lì;lik6;null;null;null	⿰山⿸⿸厂⿰⿱丿木⿱丿木止
U+3825	㠥	lǜ;leoi6;null;null;null	⿰山⿱⿱田⿰田田⿱十一
U+3826	㠦	fēng;fung1,gaam3,haat6;null;null;null	⿰山⿱⿻山⿰⿻⿱一⿱一一丨[GJK]⿻⿱一⿱一一丨[GJK]豆
U+3827	㠧	mǐ;mei5;null;null;null	⿰山⿸⿸广⿰木木[GJ]非
U+3828	㠨	yù;gwaat1,waat1;null;null;null	⿰山⿳⿲木⿱㐅⿻丿乀木罒⿰⑤寸
U+3829	㠩	null;fong1;null;null;null	⿱⿺𠃊人⿴⿰丿乚丨
U+382A	㠪	jù;geoi6;null;null;null	⿱一⿱⺊一,⿷工一
U+382D	㠭	zhǎn;zin2;null;null;null	⿱⿰工工⿰工工,⿰⿱工工⿱工工
U+382E	㠮	pēng;pang1;null;null;null	⿰⿱⿱⿱丷一⿱④一日工
U+382F	㠯	yǐ;zyu5;null;null;null	㠯
U+3831	㠱	jì;gei6;null;null;null	⿱己⿱⿱⑤一八
U+3832	㠲	bǐ;baat6,bei2,bok3;null;null;null	⿰巾⿺乚丿[GJ]
U+3834	㠴	rèn;zaan6;null;null;null	⿰巾⿹⿹𠃌丿丿[GK]
U+3835	㠵	huāng;fong1;null;null;null	⿱⿱⿱丶一[GTK]𠃊巾
U+3836	㠶	fán;faan4;null;null;null	⿰巾⿱丿几
U+3837	㠷	gé;gok3,hon6,kaau3;null;null;null	⿰巾及
U+3838	㠸	kù;fu3,gu1;null;null;null	⿰巾⿻⿱一一人
U+3839	㠹	jiè;gaai3;null;null;null	⿰巾⿱人⿰丿丨
U+383A	㠺	shā;saa1;null;null;null	⿰巾⿱小丿
U+383B	㠻	null;hei1;null;null;null	⿸耂巾
U+383C	㠼	sī;si1;null;null;null	⿰巾⿸𠂆⿱一丨
U+383D	㠽	tóng;tung4;null;null;null	⿰巾⿱夂⿱丶丶[GTJV]
U+383E	㠾	yuān;zyun1,zyun3;null;null;null	⿱⿰⿴𠂊丶㔾巾
U+383F	㠿	zī;zi1;null;null;null	⿱⿰止⿺乚丿[GJ]巾
U+3840	㡀	bì;bai6;null;null;null	⿻丷⿻巾八[GT],⿻八⿻巾八[JK],⿱⺌⿵冂小[X]
U+3841	㡁	kuǎ;kai2,kwaa1,kwaa3,pong4,tap3;null;null;null	⿰巾⿱⿻一人⿱一⿱一㇉
U+3842	㡂	lì;lai6;null;null;null	⿱⿰⿱一⿴𠂊丶刂巾
U+3843	㡃	huāng;fong1;null;null;null	⿰巾⿱⿺𠃊人⿴⿰丿乚丨
U+3844	㡄	xún;seon1,seon2;null;null;null	⿰巾⿹勹日
U+3845	㡅	nuǒ;no5;null;null;null	⿰巾⿱⿴𠂊丶⿴𠂊丶
U+3846	㡆	null;fong1;null;null;null	⿰巾⿱⿱⿱丶一[GTK]𠃊⿴⿰丿乚丨
U+3847	㡇	zhé;zip3;null;null;null	⿰巾⿸耳𠃊[U]
U+3848	㡈	wèn;man6;null;null;null	⿰巾⿱𠂊⑤[GTK]
U+3849	㡉	xián;zin4;null;null;null	⿰巾⿰弓⿱⿱丶一[GTK]⿰②丶
U+384A	㡊	qià;haap1,hap6;null;null;null	⿰巾⿱勹臼
U+384B	㡋	yé;zim1;null;null;null	⿰巾⿱⿻一人⿻日乚
U+384C	㡌	mào;mou6;null;null;null	⿰巾⿱⿵冂⿱一一月[GJK]
U+384E	㡎	null;saam1;null;null;null	⿰巾⿳厶⿻一人彡
U+384F	㡏	shù;so1;null;null;null	⿰巾⿱⿱人一⿰月刂[GT],⿰巾⿱亼⿰月⿰𡿨𡿨[GT][K]
U+3850	㡐	null;zin1;null;null;null	⿰巾⿱⿱丷一⿰月刂
U+3851	㡑	qiāo;hau1,ziu2;null;null;null	⿱⿰⿱丿木⿱八人巾
U+3852	㡒	zhūn;zeon1;null;null;null	⿰巾⿸𠂆⿱十目
U+3853	㡓	kūn;kwaan1;null;null;null	⿰巾⿱冖車
U+3854	㡔	wù;mou6;null;null;null	⿱⿰⿱龴⿹⿱乛亅丿攵巾
U+3855	㡕	yīng;zing1;null;null;null	⿰巾⿱⿻十丨[GJ]央
U+3856	㡖	chuáng;cong4;null;null;null	⿰巾重
U+3857	㡗	tí;tai4;null;null;null	⿰巾⿸𠂆⿸⿸⿱⺊②⿻㇀乚几[G]
U+3858	㡘	lián;lim4;null;null;null	⿰巾⿱䒑⿻⿻コ一④[GTJV]
U+3859	㡙	bī;bei1;null;null;null	⿰巾⿱⿴⿱丿囗㐅比
U+385A	㡚	gōu;haat6,ngaau1;null;null;null	⿰巾⿱⿱井一冉
U+385B	㡛	máng;mong4;null;null;null	⿰巾⿱⿻十丨[GJ]⿱⿱⿱丶一[GTK]𠃊⿴⿰丿乚丨[G],⿰巾⿱⿻十丨[GJ]⿱⿺𠃊人⿴⿰丿乚丨[T]
U+385C	㡜	xiè;syut3;null;null;null	⿰巾⿱⿰⿴𠂊冫②示
U+385D	㡝	fèng;fung6;null;null;null	⿰巾⿺辶⿱夂⿻⿱一⿱一一丨[GJK]
U+385E	㡞	lóu;laau4,laau5,leoi5;null;null;null	⿰巾⿱⑧女
U+385F	㡟	zāo;zou1;null;null;null	⿰巾⿱⿻一曲日
U+3860	㡠	zhèng;zing3;null;null;null	⿰巾⿱⿰②③豆
U+3861	㡡	chú;cyu4;null;CHU,JIU;null	⿰巾⿸厂⿰豆寸
U+3862	㡢	màn;maan6;null;null;null	⿰巾⿳日罒⿱一⿰丿𠃌[T],⿰巾⿳日罒⿱亠⿰丿𠃌[J]
U+3863	㡣	lóng;lung4;null;null;null	⿰⿱⿱⿱⿱丶一[GTK]丷冖巾⑦
U+3865	㡥	yìn;zaan2;null;null;null	⿰巾⿱⿳⿱丿𭕄[G]工彐[G]心
U+3866	㡦	pīn;baan1,faan6;null;null;null	⿰巾⿱⿱宀⿱一𣥂⿱目八[GTKV]
U+3867	㡧	zhèng;coeng1,zing3;null;null;null	⿰巾⿱⿱宀八⿱⿰②③豆
U+3868	㡨	jiān;cin1;null;null;null	⿰巾⿹⿶⿻⿺⿻一乚丶丿⿰人人⿱非一
U+3869	㡩	luán;lyun4;null;null;null	⿱⿲⿱⿰②丶小言⿱⿰②丶小巾
U+386A	㡪	nié;null;null;null;null	⿰巾⿱爫⿸尸⿱⿲止⿰丨丨巳夂
U+386B	㡫	yì;zi3;null;null;null	⿰⿰②丶⿱日⿹勹⿺𠃊人
U+386D	㡭	jì;gai3;null;null;null	⿱⿺𠃊⿰⿰②丶⿰②丶⿺𠃊⿰⿰②丶⿰②丶
U+386E	㡮	jí;gaap6,kaap6;null;null;null	⿰⿹⿻⿻⿺⿻一乚丶丿⿰⿰②丶⿰②丶人⿳𠂉一乁
U+386F	㡯	zhái;dok6,dou6,saam2,zak6;null;null;null	⿸广⿱丿⿻㇀乚
U+3870	㡰	yǔ;zyu5;null;null;null	⿸广于
U+3871	㡱	jiǔ;gaau3,kaau3;null;null;null	⿸广久
U+3872	㡲	huán;waan4;null;null;null	⿸广⿻⿺⿻一乚丶丿
U+3873	㡳	zhǐ;zi2;null;null;null	⿸广氏
U+3874	㡴	lā;kaap1,lai1;null;null;lụp	⿸广⿱⿱⿱丶一[GTK]丷一
U+3875	㡵	líng;ling4,ling5;null;null;null	⿸广⿱⿱人丶龴[G]
U+3876	㡶	zhǐ;zi2;null;null;null	⿸广⿱口八
U+3877	㡷	běn;bun2;null;null;null	⿸广本
U+3878	㡸	zhà;zaa3;null;null;null	⿸广乍
U+3879	㡹	jū;zeoi1;null;null;null	⿸广且
U+387A	㡺	dàn;daan3;null;null;null	⿸广⿱日一
U+387B	㡻	liào;liu6;null;null;null	⿸广⿰𠂎卩
U+387C	㡼	yì;zi6;null;null;null	⿸广曳[G],⿸广⿺曳丶[T]
U+387D	㡽	zhào;ziu6;null;null;null	⿸广⿻⿻⿻コ一丨⿱一一
U+387E	㡾	xiàn;haan6;null;null;null	⿸广艮
U+387F	㡿	chì;cik1;null;null;null	⿸广⿱⿱丷一⿻凵丨[GTK]
U+3880	㢀	cì;ci3;null;null;null	⿸广朿
U+3881	㢁	chǐ;ci2;null;null;null	⿸广⿱⿴𠂊丶⿴𠂊丶
U+3882	㢂	yǎn;zim5;null;null;null	⿸广⿱丿㠯
U+3883	㢃	láng;long4;null;null;null	⿸广⿱丶艮[GTV]
U+3884	㢄	dòu;cim1,daau6;null;null;null	⿸广豆
U+3885	㢅	lòng;lung6;null;null;null	⿸广⿱⿱一⿱十一⿻一⿰丿丨
U+3886	㢆	chán;cin4;null;null;null	⿸广⿱⿻甲一一
U+3888	㢈	tuí;teoi4;null;null;null	⿸广隹
U+3889	㢉	chá;caa4;null;null;null	⿸广⿰⿱丿木⿱丿⿻㇀乚
U+388A	㢊	ǎi;aai2;null;null;null	⿸广⿱⿻一人⿹⿱一亅口
U+388B	㢋	chǐ;ci2;null;null;null	⿸广⿰亻⿱⿴𠂊丶⿴𠂊丶
U+388D	㢍	yǐng;zing2,zoeng3,zung2;null;null;null	⿸广⿱⿻十丨[GJ]央
U+388E	㢎	zhé;cap3,zaap1,ziu3;null;null;null	⿸广⿻⿱丿十臼[GK]
U+388F	㢏	tóu;tau4;null;null;null	⿸广⿱⿱人一⿰月刂[GT],⿸广⿱亼⿰月⿰𡿨𡿨[GT][K]
U+3891	㢑	tuí;teoi4;null;null;null	⿸广⿱隹十
U+3892	㢒	chá;caa4;null;null;null	⿸广⿸⿸⿱⺊②⿻㇀乚且
U+3893	㢓	yǎo;zoeng3;null;null;null	⿸广⿱⿱⿱⿱丶一[GTK]丷一⿱日十
U+3894	㢔	zǒng;cung1,zaai1,zung2;null;null;null	⿸广⿰彳⿱⿰人人龰
U+3895	㢕	null;zung1;null;null;null	⿸广⿰乡隹
U+3896	㢖	pān;pun1;null;null;null	⿸广⿱⿱丿米田
U+3897	㢗	qiào;hiu1,hou4;null;null;null	⿸广⿱⿱⿱丿⿻一人口⿵冂口
U+3898	㢘	lián;him3,lim4;null;null;null	⿸广⿳䒑⿻⿻コ一⿰丨丨灬
U+3899	㢙	qín;gaan2,kaan4,saap1;null;null;null	⿸广⿰⿱廿⿻口龶⿻丿𠃌[GTKV]
U+389A	㢚	lǔ;lou5;null;null;null	⿸广⿸⿸⿱⺊②⿻㇀乚⿱田⿻丿𠃌[GJ]
U+389B	㢛	yàn;zim6;null;null;null	⿸广⿳⿱人一⿰口口⿰人人
U+389C	㢜	kàng;kong2;null;null;null	⿸广⿱廿⿱田心
U+389D	㢝	sū;sou1;null;null;null	⿸广⿰⿳𠂊田灬⿱丿木
U+389E	㢞	yì;zi6;null;null;null	⿸广⿱⿰⿹𠃌冫⿹𠃌冫[GTJV]⿱田⿱⿱⿻十丨一八
U+389F	㢟	chān;cin2;null;null;null	⿺廴③[G],⿺廴止[T]
U+38A0	㢠	jiǒng;gwing2;null;null;null	⿺廴⿵冂口
U+38A1	㢡	jiǎng;ceoi1,ceot1,zoeng2;null;null;null	⿱⿰爿⿱⿴𠂊冫寸⿻一⿰丿丨
U+38A3	㢣	jìng;king4,king4;null;null;null	⿱⿰⿱⿻十丨[GJ]⿹勹口攵[GJK]⿻一⿰丿丨
U+38A5	㢥	dòng;dung6;null;null;null	⿰⿵⿵冂一口⿺⿻一乚丶
U+38A6	㢦	null;go1;null;null;null	⿰⿱⿹⿱一亅口⿹⿱一亅口⿺⿻一乚丶
U+38A7	㢧	juàn;gyun2;null;null;null	⿹弓一
U+38A8	㢨	hàn;hon6;null;null;null	⿰弓干
U+38A9	㢩	dì;dik1,dim3,tiu4;null;null;null	⿰弓⿹勹丶[GTJV]
U+38AA	㢪	null;wu1;null;null;null	⿰弓⿱一⿱一㇉
U+38AC	㢬	hóng;wang4;null;null;null	⿰弓⿸𠂇厶
U+38AD	㢭	null;tou1;null;null;null	⿰弓⿱⺊又
U+38AE	㢮	chí;ci4;null;null;null	⿰弓⿱𠂉也
U+38AF	㢯	diāo;deon1;null;null;null	⿰弓民
U+38B0	㢰	bì;bei6;null;null;null	⿰弓皮
U+38B2	㢲	xùn;saan1,seon3;null;null;null	⿳⿰弓弓一八
U+38B3	㢳	lú;lou4;null;null;null	⿰弓⿱𠂉④
U+38B4	㢴	null;sai1;null;null;null	⿹弓⿴囗⿻⿱丿丿丶
U+38B5	㢵	xié;hip3,sip3;null;null;null	⿰弓⿱⿱人一口
U+38B6	㢶	bì;bat6;null;null;null	⿰弓⿱一白
U+38B8	㢸	bì;baat6,mak3,pong5;null;null;null	⿰弓⿰弓攵
U+38BA	㢺	xián;zin2,zin4;null;null;null	⿰弓⿱⿱⿱⿱丶一[GTK]丷一女
U+38BB	㢻	ruì;waai2;null;null;null	⿰弓⿱⿱丿木女
U+38BC	㢼	biè;bit3;null;null;null	⿰弓⿻丷⿻巾八[GT]
U+38BD	㢽	ěr;nei6;null;null;null	⿲弓耳弓
U+38BE	㢾	juàn;gyun3;null;null;null	⿰弓⿱⿱一⿻口⿰丨丨⿱十一[G]
U+38C0	㣀	zhèn;zan3;null;null;null	⿰弓⿱十⿱⿴且一八[GTKV][T],⿰弓⿳匕⿺𠃊目八[J]
U+38C1	㣁	bèi;baai3,bei6;null;null;null	⿰弓⿱艹⿸⿱一丿⿵冂⿻⿱一一丨
U+38C2	㣂	è;zik6;null;null;null	⿰弓⿳一口⿵⿵冂⿰丿乚⿱一丨[GT]
U+38C3	㣃	yǔ;zuk6;null;null;null	⿲弓⿱⿻一厶[GT]月[GJK]弓
U+38C4	㣄	qú;keoi4;null;null;null	⿰弓⿱⿰氵巨木[GJK]
U+38C5	㣅	zàn;zam1;null;null;null	⿰弓⿱⿰旡旡[G]日
U+38C6	㣆	mí;nei4;null;null;null	⿰弓⿱⿱一⿱八⿻巾⿰⿱㐅⿻丿乀⿱㐅⿻丿乀⿱一⿱十一,⿰弓⿱⿱一⿱八⿻巾⿰⿱㐅⿻丿乀⿱㐅⿻丿乀⿷⿱一⿱十一丶[X]
U+38C7	㣇	yì;caa3,zi6;null;null;null	⿳彑⿱丿丿巾
